Sample	Parental	Concordant	Parental tumor only	Organoid only
P-1 assembloid	P-1 parental tumour	0.772916666667	0.1875	0.0395833333333
P-1 organoid	P-1 parental tumour	0.797619047619	0.117063492063	0.0853174603175
P-2 assembloid	P-2 parental tumour	0.725092250923	0.245387453875	0.029520295203
P-2 organoid	P-2 parental tumour	0.73476702509	0.207885304659	0.0573476702509
P-3 assembloid	P-3 parental tumour	0.752918287938	0.196498054475	0.0505836575875
P-3 organoid	P-3 parental tumour	0.733695652174	0.150362318841	0.115942028986
P-6 assembloid	P-6 parental tumour	0.862559241706	0.107424960506	0.0300157977883
P-6 organoid	P-6 parental tumour	0.866141732283	0.100787401575	0.0330708661417
